SMc02793,mlr4488
SM_b21095,noHit
SM_b21096,noHit
SM_b21097,noHit
SM_b21098,noHit
SM_b21099,noHit
SM_b21100,noHit
SM_b21101,mlr7156
SM_b21102,mlr7155
SM_b21103,mll7154
SM_b21104,mll7153
SM_b21105,mll7152
SM_b21106,mll7151
manR,mll7149
SM_b21108,mll7147
SM_b21109,mll7146
SM_b21110,mll7145
SM_b21111,mll4781
hpaG,mll4780
SM_b21113,noHit
nrtA,mlr2856
SM_b21115,mlr2855
SM_b21116,noHit
SM_b21117,noHit
gntK,noHit
SM_b21120,noHit
ivdH,mll7732
mccA,mll7731
SM_b21123,mlr1297
mccB,mll7727
hmgL,noHit
eccH2,noHit
SM_b21127,noHit
SM_b21128,noHit
SM_b21129,mlr7184
cysA2,mlr1669
cysP2,mlr1668
SM_b21132,mlr1667
SM_b21133,mlr1666
SM_b21134,mll8328
SM_b21135,mlr3796
SM_b21136,mlr3797
SM_b21137,mlr3799
SM_b21138,mlr3801
SM_b21139,mll4450
SM_b21140,mll3795
SM_b21216,mlr3645
SM_b21217,mlr3644
SM_b21218,mlr3643
SM_b21219,mlr3641
SM_b21220,mlr3640
SM_b21221,mlr3639
SM_b21222,mll3638
nodP2,mlr7575
nodQ2,mlr7576
SM_b21225,noHit
SM_b21226,noHit
SM_b21227,noHit
SM_b21228,noHit
SM_b21229,noHit
SM_b21230,noHit
SM_b21231,mlr6753
SM_b21232,mlr7568
TRm1b,noHit
TRm1a,noHit
SM_b21235,noHit
SM_b21236,noHit
SM_b21237,noHit
SM_b21238,noHit
SM_b21239,noHit
SM_b21240,noHit
SM_b21241,noHit
SM_b21242,noHit
SM_b21243,noHit
SM_b21244,noHit
exoF3,noHit
SM_b21246,noHit
SM_b21247,mll5304
SM_b21248,mll7579
SM_b21249,noHit
SM_b21250,noHit
SM_b21251,mll3287
SM_b21252,mll3259
SM_b21253,mll3258
SM_b21254,mlr3257
SM_b21255,mlr3260
SM_b21256,mlr3262
SM_b21257,noHit
SM_b21258,noHit
SM_b21259,noHit
SM_b21260,mlr3264
SM_b21261,mlr3265
SM_b21262,mlr3266
SM_b21263,mlr3267
redA,mlr3248
redB,mlr3249
SM_b21266,mlr3252
SM_b21267,noHit
SM_b21268,noHit
SM_b21269,mlr3255
SM_b21270,mlr3256
SM_b21271,noHit
SM_b21272,noHit
SM_b21273,noHit
SM_b21274,noHit
SM_b21275,noHit
SM_b21277,noHit
adeC2,noHit
SM_b21279,noHit
SM_b21280,noHit
SM_b21281,noHit
SM_b21283,noHit
SM_b21284,mll5132
SM_b21285,noHit
xdhA1,mlr5134
xdhB1,noHit
xdhC,mlr5136
SM_b21289,mlr2595
SM_b21290,mll2594
SM_b21291,mll5139
SM_b21292,mlr5140
guaD1,noHit
SM_b21294,mll2257
SM_b21295,mll2387
SM_b21296,noHit
pbpC,mlr1664
SM_b21298,mlr1663
deoR,mll1922
deoC,mll4784
SM_b21301,mll4783
SM_b21302,mlr8491
SM_b21303,noHit
SM_b21304,noHit
merA2,mlr2769
SM_b21144,mlr8413
SM_b21145,mlr8414
SM_b21146,mlr8415
SM_b21147,mlr8416
SM_b21148,noHit
SM_b21149,noHit
SM_b21150,noHit
SM_b21151,noHit
SM_b21152,noHit
SM_b21153,noHit
SM_b21154,mlr1780
SM_b21155,mll4144
SM_b21156,mlr4452
SM_b21157,noHit
SM_b21158,mlr4153
SM_b21159,mlr4150
hexA,noHit
SM_b21161,noHit
SM_b21162,noHit
hutU,mlr8323
hutG,mlr8322
hutH1,mlr8321
hutI,mlr8319
SM_b21167,noHit
SM_b21168,mll2510
SM_b21169,mlr2511
phnN,mll4973
phnM,mll4974
SM_b21172,noHit
SM_b21173,noHit
phoT,noHit
phoE,mlr3356
phoD,mlr3355
phoC,mlr3353
SM_b21178,noHit
SM_b21179,mll6667
SM_b21180,noHit
SM_b21181,mll2878
SM_b21182,mlr1614
htpG,mlr2017
ackA2,mlr6576
gabD2,mll5809
gabT,mlr5521
SM_b21187,mlr7385
SM_b21188,mlr1941
SM_b21189,mlr1944
SM_b21190,mlr1946
msbA2,mlr1948
cbbA2,noHit
SM_b21196,mlr7597
SM_b21197,mlr7598
SM_b21198,mlr7599
SM_b21199,mlr7600
SM_b21200,noHit
SM_b21201,noHit
SM_b21202,mll3683
SM_b21203,mll3682
SM_b21666,noHit
SM_b21204,noHit
SM_b21205,noHit
SM_b21206,noHit
SM_b21207,mlr4594
SM_b21208,noHit
SM_b21209,noHit
SM_b21210,mll5674
SM_b21211,noHit
SM_b21212,noHit
SM_b21667,noHit
pphA,mll6908
orf24,mlr4094
orf23,mll5127
wgeH,noHit
wgeG,noHit
wgeF,noHit
wgeE,noHit
wgeD,noHit
wgeC,noHit
wgeB,noHit
wgeA,noHit
wgdB,noHit
wgdA,noHit
wggR,noHit
wgcA,noHit
wgaA,noHit
wgaB,noHit
wgaD,noHit
wgaE,noHit
wgaF,noHit
wgaG,mlr7550
wgaH,mlr7551
wgaI,mlr7552
wgaJ,mlr7553
SM_b21328,noHit
SM_b21329,noHit
SM_b21330,msl9551
SM_b21331,noHit
SM_b21332,noHit
SM_b21333,noHit
SM_b21334,noHit
SM_b21335,noHit
SM_b21336,mlr1270
SM_b21337,noHit
SM_b21338,noHit
SM_b21339,noHit
SM_b21340,noHit
SM_b21341,noHit
SM_b21342,noHit
SM_b21343,noHit
SM_b21344,noHit
SM_b21345,noHit
SM_b21346,mll4964
SM_b21347,mll4053
SM_b21348,mll4054
SM_b21349,noHit
SM_b21350,noHit
SM_b21351,noHit
SM_b21352,noHit
SM_b21353,noHit
uxaC,mll4056
SM_b21355,noHit
SM_b21356,mll9669
SM_b21357,noHit
SM_b21358,noHit
SM_b21359,noHit
SM_b21360,noHit
SM_b21361,noHit
SM_b21362,noHit
SM_b21668,noHit
SM_b21363,noHit
SM_b21364,noHit
SM_b21365,noHit
SM_b21669,noHit
SM_b21366,noHit
cycA,noHit
SM_b21368,mll9631
SM_b21369,noHit
SM_b21370,mll9630
SM_b21371,noHit
SM_b21372,mlr7217
SM_b21373,mll7215
SM_b21374,mll7216
SM_b21375,mll1920
SM_b21376,mll3598
SM_b21377,noHit
SM_b21378,mlr1783
SM_b21379,mll7534
SM_b21380,noHit
SM_b21381,noHit
SM_b21382,noHit
SM_b21383,noHit
SM_b21384,noHit
SM_b21385,noHit
SM_b21525,mll5410
tauA,mlr4517
tauB,mlr4518
tauC,mlr4519
SM_b21670,mll8193
tauD,noHit
SM_b21530,noHit
SM_b21531,mlr2225
pta,noHit
SM_b21533,mll3414
SM_b21534,mll5369
SM_b21535,mlr5616
SM_b21536,mlr2470
SM_b21537,noHit
phnA,noHit
SM_b21539,noHit
SM_b21671,noHit
SM_b21540,noHit
SM_b21541,noHit
SM_b21542,noHit
SM_b21543,noHit
SM_b21544,noHit
SM_b21545,noHit
SM_b21546,noHit
SM_b21547,noHit
SM_b21548,noHit
thtR,noHit
SM_b21550,noHit
SM_b21551,noHit
aacC4,noHit
SM_b21554,noHit
kefB2,mlr0783
SM_b21556,noHit
SM_b21557,mlr1926
SM_b21558,mlr1925
SM_b21559,noHit
SM_b21560,noHit
SM_b21561,noHit
SM_b21562,noHit
SM_b21563,noHit
SM_b21564,noHit
SM_b21565,mlr1911
groEL5,mlr2394
SM_b21568,noHit
SM_b21569,noHit
stcD,mlr8292
SM_b21571,mll5233
SM_b21572,noHit
SM_b21573,mll9583
SM_b21574,noHit
SM_b21575,mll2163
SM_b21576,noHit
SM_b21577,noHit
atcU2,noHit
hmrR2,mll5312
SM_b21580,mll3585
SM_b21581,noHit
SM_b21582,noHit
SM_b21583,noHit
SM_b21584,noHit
SM_b21585,noHit
gshB2,noHit
SM_b21587,noHit
SM_b21588,noHit
SM_b21589,noHit
SM_b21590,noHit
SM_b21591,mll7194
SM_b21592,noHit
SM_b21593,noHit
SM_b21594,noHit
SM_b21595,noHit
SM_b21596,mll1509
SM_b21597,mll1511
SM_b21598,mlr1512
SM_b21599,mlr0217
ampC,noHit
SM_b21601,mll3592
SM_b21602,mll3588
SM_b21603,mll3589
SM_b21604,mll3590
SM_b21605,noHit
abfA,mll3591
SM_b21672,noHit
SM_b20925,noHit
SM_b20926,noHit
SM_b20927,noHit
SM_b20928,noHit
SM_b20929,mlr1694
SM_b20930,mlr1693
SM_b20931,mll1692
exsH,mll2585
exsG,noHit
exsF,noHit
exsI,noHit
SM_b20936,noHit
exsE,mll3543
exsD,mll5796
exsC,mll5797
exsB,mll5798
exsA,mll0815
exoB,noHit
exoZ,mlr6758
exoQ,mlr5249
exoF1,mll5251
exoY,mll5252
exoX,mlr5253
exoU,mlr5261
exoV,noHit
exoW,noHit
exoT,noHit
SM_b21673,noHit
exoI,noHit
SM_b20952,noHit
SM_b20953,noHit
exoH,noHit
exoK,mlr5264
exoL,mlr5271
exoA,mlr5272
exoM,mlr5273
exoO,mlr5274
exoN,mlr5275
exoP,mlr5276
thiD,mll5788
SM_b20963,noHit
SM_b20964,mll3745
SM_b20965,noHit
lacZ2,noHit
SM_b20967,mll7541
SM_b20968,noHit
SM_b20969,noHit
SM_b20970,mll1715
SM_b20971,noHit
SM_b20972,noHit
SM_b20973,noHit
SM_b20974,mll2041
SM_b20975,noHit
SM_b20976,noHit
SM_b20977,noHit
SM_b20978,mll7159
SM_b20979,noHit
SM_b20980,noHit
SM_b20981,noHit
SM_b20982,noHit
SM_b20983,noHit
nirB,mlr2862
nirD,mlr2863
narB,noHit
SM_b20987,noHit
SM_b20988,mlr1881
SM_b20989,mll1932
nfeD,mll1933
SM_b20991,mlr5217
SM_b20992,noHit
SM_b21674,noHit
SM_b20993,mlr5225
SM_b20994,mlr1674
engA,mlr7404
SM_b20996,mlr7403
SM_b20997,noHit
SM_b20998,mll7402
bacA,mlr7400
SM_b21000,mlr7399
SM_b21001,noHit
map2,noHit
SM_b21003,mlr4867
SM_b21004,mll2249
SM_b21005,mll2250
SM_b21006,noHit
SM_b21007,mll2253
SM_b21008,mll2255
glpK,mll0700
bdhA,mll3632
xdhA2,noHit
xdhB2,mlr5135
SM_b21676,noHit
SM_b20847,mll4929
SM_b20848,noHit
guaD2,mlr5142
lldD1,mll6909
SM_b20851,noHit
SM_b20852,noHit
SM_b20853,noHit
SM_b20854,mll1013
SM_b20855,noHit
SM_b20856,noHit
SM_b20857,noHit
SM_b20858,noHit
SM_b20859,noHit
SM_b21677,noHit
SM_b20860,noHit
SM_b20861,noHit
SM_b20862,noHit
SM_b20863,noHit
SM_b20864,mlr0979
SM_b20865,noHit
SM_b20866,noHit
SM_b20867,noHit
SM_b20868,noHit
SM_b20869,mll0983
SM_b20870,noHit
SM_b20871,mlr5280
SM_b20872,mlr5133
allA,noHit
SM_b20874,noHit
SM_b20875,noHit
SM_b20876,noHit
SM_b20877,noHit
SM_b20878,noHit
SM_b20879,mlr3233
rhlE2,mlr0349
SM_b20881,noHit
SM_b20882,noHit
SM_b20883,noHit
SM_b20884,noHit
SM_b20885,mlr3480
SM_b20886,mll0717
SM_b20887,mll0716
SM_b20888,mll0715
SM_b20889,noHit
araF,mll7192
araE,mlr5236
araD,mll5655
araC,mll5656
araB,mll5657
araA,mll5659
gbpR,mlr5660
SM_b20897,noHit
SM_b20898,noHit
SM_b21678,noHit
idhA,mll4991
SM_b20900,noHit
SM_b21679,noHit
SM_b20901,mlr3714
SM_b20902,mll3713
SM_b20903,mll3711
SM_b20904,mll3710
SM_b20905,noHit
SM_b20906,noHit
SM_b20907,noHit
SM_b20908,mlr9674
SM_b21680,noHit
SM_b21681,noHit
SM_b20909,noHit
SM_b20910,noHit
SM_b20911,noHit
SM_b20912,noHit
SM_b20913,noHit
SM_b21682,noHit
SM_b20914,noHit
aslA1,noHit
SM_b20916,noHit
TRm1a,noHit
TRm1b,noHit
SM_b20920,noHit
SM_b20921,noHit
SM_b20922,noHit
SM_b21395,noHit
SM_b21396,noHit
SM_b21397,noHit
SM_b21398,noHit
SM_b21399,noHit
SM_b21683,noHit
SM_b21400,noHit
SM_b21401,noHit
SM_b21402,noHit
SM_b21403,noHit
SM_b21404,noHit
SM_b21405,noHit
SM_b21406,mlr9623
SM_b21407,noHit
SM_b21408,noHit
SM_b21410,mll5735
SM_b21411,noHit
SM_b21412,mll7394
SM_b21413,noHit
SM_b21414,noHit
SM_b21415,mlr6875
ddhA,noHit
ddhB,noHit
SM_b21418,noHit
SM_b21419,noHit
SM_b21684,noHit
SM_b21420,noHit
SM_b21421,noHit
SM_b21422,noHit
SM_b21423,noHit
SM_b21424,noHit
SM_b21425,noHit
SM_b21426,mll7572
SM_b21427,noHit
rmlC,noHit
SM_b21429,noHit
SM_b21430,noHit
SM_b21431,noHit
SM_b21432,noHit
SM_b21433,noHit
SM_b21685,noHit
SM_b21434,noHit
SM_b21435,noHit
SM_b21436,noHit
SM_b21437,noHit
SM_b21438,noHit
SM_b21439,mll2519
SM_b21440,noHit
SM_b21441,noHit
SM_b21442,noHit
SM_b21443,noHit
SM_b21444,noHit
SM_b21445,mll2873
glgX2,noHit
glgB2,noHit
SM_b21448,mll5147
gst12,noHit
SM_b21450,noHit
SM_b21452,noHit
SM_b21454,noHit
SM_b21455,mlr6856
SM_b21456,mll3289
SM_b21458,noHit
SM_b21459,noHit
SM_b21460,noHit
SM_b21461,noHit
SM_b21462,noHit
SM_b21463,noHit
SM_b21464,noHit
prsE,noHit
prsD,noHit
SM_b21467,noHit
SM_b21468,noHit
SM_b21469,noHit
SM_b21470,noHit
SM_b21471,noHit
SM_b21472,mll1528
SM_b21473,noHit
SM_b21474,noHit
SM_b21475,noHit
SM_b21476,noHit
SM_b21477,noHit
SM_b21478,noHit
SM_b21479,noHit
SM_b21480,noHit
SM_b21481,noHit
SM_b21482,noHit
SM_b21483,msl2054
SM_b21686,noHit
rpoE5,noHit
SM_b21687,noHit
SM_b21485,noHit
SM_b21486,mll6844
cyoA,mlr6846
cyoB,mlr6847
cyoC,mlr6848
SM_b21490,noHit
SM_b21491,mlr3121
SM_b21492,mlr1823
SM_b21493,noHit
ocd,mll6776
SM_b21689,noHit
SM_b21495,noHit
SM_b21496,noHit
acrE,noHit
acrF,noHit
SM_b21499,noHit
SM_b21500,noHit
SM_b21501,noHit
SM_b21502,noHit
SM_b21503,noHit
SM_b21504,noHit
wzy,mll6499
SM_b21506,noHit
SM_b21507,mll7642
dapA3,mll6376
SM_b21509,noHit
SM_b21510,noHit
SM_b21511,noHit
SM_b21512,noHit
wzx2,noHit
hemK2,mlr6740
SM_b21515,mll0814
SM_b21516,mll7632
SM_b21517,noHit
SM_b21518,noHit
SM_b21519,mll4568
SM_b21520,mll4567
SM_b21521,noHit
minE,msl1949
minD,mll1950
minC,mll1951
SM_b20647,noHit
SM_b20648,noHit
nadE1,mll6744
SM_b20650,mll6742
SM_b20651,msl6741
asnB,mll6743
SM_b20654,noHit
SM_b20655,noHit
SM_b20656,noHit
SM_b20657,noHit
SM_b20658,noHit
SM_b20659,noHit
SM_b20660,noHit
SM_b20661,mlr7004
SM_b20662,mll2989
SM_b20663,noHit
SM_b20664,noHit
SM_b20665,noHit
SM_b20666,noHit
SM_b20667,mll1683
SM_b20668,noHit
SM_b20669,noHit
SM_b20670,noHit
SM_b20671,mll1012
SM_b20672,noHit
SM_b20673,mlr8214
SM_b20674,mlr8213
SM_b20675,mlr5237
SM_b20676,noHit
SM_b20677,mll5130
ttuD2,noHit
QglxR,mlr0254
hyi,mlr0252
gcl,mlr0251
iclR,mll0250
SM_b20683,mlr7811
SM_b20684,mll5131
SM_b20685,mll2077
SM_b20686,mll2074
SM_b20687,mll2073
SM_b20688,mll2072
xthA4,mll2070
SM_b20690,noHit
SM_b20691,noHit
idnO1,mlr3785
SM_b20694,noHit
SM_b20695,noHit
SM_b20696,noHit
SM_b20697,noHit
SM_b20698,noHit
SM_b20699,noHit
SM_b20700,noHit
SM_b20701,mlr0977
SM_b20702,mlr2019
SM_b20703,mlr6790
glgA2,noHit
SM_b20705,mlr5364
SM_b20706,noHit
cyaG2,noHit
SM_b20708,mlr2526
SM_b20709,mll4583
SM_b20710,mlr1689
SM_b20711,mlr6178
SM_b20712,mll4996
SM_b20713,noHit
SM_b20714,mll4993
SM_b20715,mlr4581
SM_b20716,mll4580
SM_b20717,noHit
SM_b20718,noHit
SM_b20719,noHit
SM_b20720,noHit
SM_b20721,mll7952
SM_b20722,mll7953
SM_b20723,noHit
SM_b20724,noHit
SM_b20725,noHit
SM_b20726,noHit
SM_b20727,msl5548
SM_b20728,noHit
SM_b20729,noHit
glnII,mlr0339
gstI,noHit
SM_b20747,noHit
pssF,noHit
uxuB,mlr4057
SM_b20750,noHit
SM_b20751,mlr1203
SM_b20752,mlr8392
SM_b20753,mlr1201
SM_b20754,noHit
pccB,mll0348
pccA,mll0871
bhbA,mll7619
SM_b20758,mll3341
phnG,mlr3342
phnH,mlr3343
phnI,mlr3344
phnJ,mlr3346
phnK,mlr3347
phnL,mlr3349
SM_b20765,mlr3351
TRm22,noHit
dak,mll5296
SM_b20768,noHit
SM_b20769,noHit
SM_b20770,noHit
SM_b20771,noHit
pdxA2,noHit
SM_b20773,noHit
SM_b20774,noHit
SM_b20775,noHit
cyaK,noHit
TRm19,mlr4143
TRm2011-2b-2,noHit
SM_b20779,noHit
SM_b20780,noHit
SM_b21701,noHit
TRm2011-2b-1,noHit
TRm2011-2a,noHit
SM_b20784,noHit
SM_b20785,mll4886
SM_b20786,noHit
SM_b20787,noHit
SM_b20568,noHit
SM_b20569,noHit
SM_b20570,noHit
SM_b20571,mll4557
SM_b21691,mll9178
SM_b20573,mlr5227
SM_b20574,noHit
pcaB,mlr7211
pcaG,mlr7210
pcaH,mlr7208
pcaC,mlr7207
pcaD,mlr7206
pcaQ,mll7205
SM_b20581,noHit
SM_b20582,mlr7023
pobA,mlr7212
SM_b20584,noHit
ggt,mlr5711
pcaR,mlr4184
pcaI,mll4183
pcaJ,mll4181
pcaF,mll4180
SM_b20590,mll7735
SM_b20591,noHit
rpoE8,mll8140
SM_b20593,mll8139
amcY,mll8137
ftsK2,mll4073
SM_b20596,noHit
SM_b20597,noHit
repA3,mll9353
repB3,mll9352
SM_b20600,noHit
SM_b21707,mll0756
SM_b20602,mll0758
SM_b20603,mll0759
SM_b20604,noHit
SM_b20605,mll0762
SM_b20606,noHit
SM_b20607,noHit
SM_b20608,mll5360
SM_b20609,noHit
SM_b20610,noHit
dctA,mll7237
dctB,mlr7238
dctD,mlr5842
SM_b20614,noHit
thiC,mll5795
thiO,mll5793
thiG,mll5790
thiE,mll5789
SM_b20619,mll7290
SM_b20620,mlr7288
SM_b20621,mlr7287
SM_b20622,mlr7286
SM_b20623,mll7285
SM_b20624,mll7284
SM_b20625,mll3374
SM_b20626,mlr3375
SM_b20627,noHit
SM_b20628,msr2423
SM_b20629,noHit
SM_b20630,noHit
SM_b20631,mlr2247
SM_b20632,mlr2246
SM_b20633,mlr2245
SM_b20634,mlr2244
SM_b21706,mlr2242
TRm19,mlr4143
SM_b21630,noHit
nspC,noHit
SM_b21632,noHit
paaG,noHit
SM_b21634,noHit
paaZ,noHit
paaE,noHit
paaD,noHit
paaC,noHit
paaB,noHit
paaA,noHit
paaX,noHit
SM_b21642,noHit
agaL2,mlr6450
agpD,mlr6448
agpC,mlr6447
agpB,mlr6445
agpA,mlr6444
melA,mlr6443
agpT,mll6442
lacR,noHit
SM_b21651,mll5078
SM_b22003,noHit
SM_b22004,noHit
SM_b22005,msl0999
SM_b22002,noHit
SM_b22001,noHit
SM_b22020,mll2522
SM_b22021,noHit
SM_b22022,noHit
SM_b22019,noHit
SM_b22006,noHit
SM_b22007,noHit
SM_b22008,noHit
SM_b22009,noHit
SM_b22010,noHit
SM_b22011,mll3253
SM_b22012,noHit
SM_b22025,mll4975
SM_b22013,mlr3817
groES5,mlr2393
SM_b22014,noHit
SM_b22015,noHit
cyoD,mlr6849
SM_b22016,noHit
SM_b22017,noHit
SM_b22018,msl5079
SMc05001,noHit
SMc05002,noHit
SMc05003,noHit
SMc05004,noHit
SMc05005,noHit
SMc05006,msl7485
SMc05007,msr0731
ecnA,noHit
SMc05008,noHit
SMc05010,noHit
SMc05011,mll0486
SMc05012,noHit
SMc05013,noHit
SMc05014,noHit
SMc05015,noHit
SMc05016,noHit
SMc05017,noHit
SMc05018,noHit
SMc05019,noHit
fdoG,noHit
fdoH,noHit
fdoI,noHit
fdhE,noHit
selA,noHit
SMa0013,noHit
selB,noHit
SMa0017,noHit
SMa0018,noHit
SMa0020,noHit
SMa0021,noHit
SMa0025,noHit
SMa0026,noHit
selD,noHit
SMa0031,noHit
SMa0034,noHit
SMa0036,mll2036
SMa0039,mlr7163
SMa0041,mll7162
SMa0044,msr7471
cah,mll6384
SMa0050,noHit
SMa0052,noHit
SMa0056,noHit
SMa0058,noHit
SMa0059,mll6862
SMa0060,mlr7379
SMa0062,noHit
SMa0063,mll7378
SMa0064,mll7377
SMa0065,mll6782
SMa0067,mll7376
SMa0070,mll7374
SMa0072,mll7373
SMa0074,mll7371
SMa0077,mll7370
SMa0078,noHit
SMa0079,mlr4898
SMa0081,mlr4899
SMa0082,mlr4897
SMa0083,noHit
SMa0085,noHit
SMa0087,noHit
SMa0089,mll4827
SMa0091,mll1959
SMa0093,noHit
SMa0095,mlr2477
SMa0097,noHit
SMa0101,mll2891
SMa0104,noHit
SMa0105,noHit
SMa0106,noHit
SMa0108,noHit
SMa0110,noHit
SMa0112,mll1601
SMa0113,mll9655
SMa0114,noHit
SMa0116,mlr7456
SMa0117,noHit
SMa0118,noHit
SMa0121,msl2230
SMa0123,noHit
groEL3,mll2232
groES3,mll2233
cspA8,mlr8184
SMa0128,noHit
SMa0130,mlr3223
SMa0132,noHit
SMa0134,mll2445
SMa0136,mll1810
SMa0137,noHit
SMa0139,noHit
SMa0142,noHit
rpoE6,noHit
SMa0144,noHit
SMa0146,noHit
SMa0148,mll8131
SMa0149,mlr7618
SMa0150,mlr4763
SMa0151,noHit
SMa0155,noHit
SMa0157,noHit
SMa0160,mll7060
SMa0162,noHit
pilQ2,mll0899
SMa0164,noHit
SMa0166,mll0888
SMa0168,noHit
SMa0169,noHit
SMa0171,noHit
SMa0172,mlr8387
SMa0175,noHit
SMa0179,noHit
SMa0180,noHit
cspA7,noHit
SMa0185,noHit
SMa0187,mll6858
SMa0189,noHit
SMa0190,noHit
SMa0191,noHit
SMa0193,noHit
SMa0196,mll4328
SMa0197,mll4201
SMa0198,mll4202
SMa0199,mll4203
SMa0203,mll4204
SMa0204,noHit
SMa0206,noHit
SMa0209,mll9648
SMa0210,noHit
SMa0211,noHit
kduI,noHit
SMa0216,noHit
SMa0217,noHit
SMa0218,noHit
SMa0220,noHit
SMa0222,noHit
SMa0223,noHit
SMa0224,mll2542
SMa0226,noHit
gdhA,noHit
SMa0229,noHit
SMa0232,noHit
otsA,mll0691
SMa0235,mlr5404
SMa0237,noHit
SMa0241,mll2981
SMa0244,mll8576
SMa0246,mll8575
SMa0247,mll7369
SMa0249,noHit
SMa0250,noHit
SMa0252,noHit
SMa0254,mlr0494
SMa0255,noHit
SMa0257,noHit
SMa0259,mll5717
gabD3,mll5719
SMa0263,mll5720
SMa0265,mlr9117
SMa0267,mlr5721
SMa0270,noHit
SMa0271,noHit
SMa0273,noHit
SMa0275,mlr5723
SMa0277,noHit
SMa0279,mlr1901
SMa0280,noHit
SMa0281,noHit
SMa0285,noHit
SMa0286,noHit
SMa0287,noHit
SMa0288,noHit
SMa0291,noHit
SMa0293,mll2299
SMa0298,noHit
SMa0299,noHit
SMa0300,noHit
SMa0301,noHit
SMa0302,noHit
SMa0303,noHit
SMa0306,mll7124
SMa0307,noHit
SMa0308,noHit
SMa0310,noHit
SMa0312,noHit
SMa0314,noHit
SMa0316,noHit
SMa0319,noHit
SMa0320,noHit
SMa0322,noHit
SMa0323,msl7859
SMa0325,noHit
SMa0326,mlr1595
SMa0329,noHit
SMa0333,noHit
SMa0335,noHit
SMa0337,noHit
SMa0339,noHit
wrbA2,noHit
SMa0341,noHit
SMa0343,noHit
SMa0346,noHit
SMa0347,noHit
SMa0349,mlr5281
SMa0352,noHit
SMa0353,mll2420
SMa0355,noHit
SMa0357,noHit
SMa0359,noHit
SMa0360,noHit
SMa0364,noHit
SMa0367,noHit
SMa0369,noHit
SMa0372,noHit
SMa0374,noHit
SMa0376,noHit
SMa0380,noHit
SMa0383,noHit
SMa0384,noHit
hisC3,mll7105
SMa0389,mlr7106
SMa0391,noHit
SMa0392,noHit
SMa0394,noHit
SMa0396,noHit
hisD2,mlr7107
SMa0400,mlr7108
SMa0402,mlr7110
SMa0403,mlr7111
SMa0404,noHit
SMa0405,noHit
SMa0407,noHit
SMa0412,noHit
SMa0414,noHit
SMa0417,noHit
SMa0421,noHit
SMa0424,noHit
SMa0426,mlr9624
SMa0429,mll5900
SMa0431,mll5901
SMa0433,noHit
SMa0436,noHit
SMa0444,noHit
SMa0445,noHit
SMa0447,noHit
SMa0448,noHit
SMa0450,noHit
SMa0453,noHit
SMa0461,noHit
SMa0462,mll7073
cyaI2,noHit
SMa0466,noHit
SMa0467,noHit
SMa0469,noHit
SMa0470,mll7347
SMa0471,noHit
SMa0473,noHit
SMa0475,noHit
SMa0476,noHit
SMa0478,noHit
SMa0483,noHit
thrC2,noHit
SMa0486,noHit
SMa0489,noHit
SMa0492,mll6985
SMa0493,noHit
SMa0495,noHit
SMa0496,noHit
SMa0498,noHit
SMa0499,noHit
SMa0501,noHit
SMa0503,noHit
SMa0506,noHit
SMa0508,noHit
SMa0510,noHit
idnD,noHit
idnO1,mlr3785
idnK,mll1676
SMa0516,noHit
SMa0518,noHit
SMa0520,noHit
SMa0522,noHit
SMa0523,noHit
SMa0525,noHit
SMa0526,noHit
SMa0527,noHit
SMa0535,noHit
SMa0537,noHit
SMa0538,noHit
SMa0541,noHit
SMa0543,noHit
SMa0545,noHit
SMa0548,noHit
SMa0551,noHit
SMa0552,noHit
SMa0554,noHit
SMa0557,mll1582
SMa0558,noHit
SMa0559,noHit
SMa0561,noHit
SMa0563,mlr1801
SMa0564,noHit
SMa0567,noHit
cyaF4,noHit
SMa0572,noHit
SMa0574,mll1845
SMa0575,noHit
SMa0576,noHit
cyaN,noHit
nrtC,mlr2861
nrtB,mlr2860
nrtA,mlr2858
SMa0590,noHit
SMa0591,noHit
SMa0592,noHit
SMa0594,noHit
SMa0599,mll0159
SMa0601,noHit
SMa0604,noHit
SMa0606,mlr5473
SMa0607,noHit
SMa0609,noHit
SMa0610,noHit
fixN3,noHit
fixO3,noHit
fixQ3,noHit
fixP3,noHit
SMa0620,noHit
fixI2,noHit
fixS2,noHit
SMa0625,noHit
SMa0626,noHit
aqpZ2,mll6943
SMa0629,noHit
SMa0630,noHit
SMa0631,noHit
SMa0633,noHit
SMa0636,noHit
SMa0637,noHit
SMa0638,noHit
SMa0639,noHit
SMa0640,noHit
SMa0643,noHit
SMa0645,noHit
SMa0647,noHit
SMa0649,noHit
SMa0656,noHit
SMa0657,noHit
SMa0659,noHit
SMa0661,noHit
SMa0662,noHit
SMa0663,noHit
SMa0664,noHit
SMa0665,noHit
SMa0667,noHit
SMa0669,noHit
SMa0670,noHit
SMa0673,noHit
SMa0674,noHit
SMa0675,noHit
SMa0677,noHit
SMa0678,noHit
SMa0680,noHit
SMa0682,noHit
SMa0683,noHit
SMa0684,noHit
SMa0687,noHit
SMa0689,noHit
SMa0690,noHit
arcA1,noHit
arcB,noHit
arcC,noHit
SMa0699,noHit
SMa0702,noHit
dgoK2,noHit
SMa0707,noHit
SMa0708,noHit
SMa0709,noHit
SMa0710,noHit
SMa0711,noHit
SMa0713,noHit
SMa0714,noHit
SMa0715,noHit
SMa0717,noHit
SMa0719,noHit
SMa0722,noHit
