SMc02793,blr0637
wgaF,noHit
wgaG,noHit
wgaH,noHit
wgaI,blr5989
wgaJ,noHit
SM_b21328,noHit
SM_b21329,noHit
SM_b21330,bsl1473
SM_b21331,noHit
SM_b21332,noHit
SM_b21333,noHit
SM_b21334,noHit
SM_b21335,noHit
SM_b21336,noHit
SM_b21337,blr5209
SM_b21338,noHit
SM_b21339,noHit
SM_b21340,noHit
SM_b21341,noHit
SM_b21342,noHit
SM_b21343,noHit
SM_b21344,noHit
SM_b21345,noHit
SM_b21346,noHit
SM_b21347,noHit
SM_b21348,noHit
SM_b21349,noHit
SM_b21350,noHit
SM_b21351,bll6056
SM_b21352,bll6057
SM_b21353,bll6058
uxaC,noHit
SM_b21355,blr3664
SM_b21356,blr8040
SM_b21357,noHit
SM_b21358,noHit
SM_b21359,noHit
SM_b21360,noHit
SM_b21361,noHit
SM_b21362,noHit
SM_b21668,noHit
SM_b21363,noHit
SM_b21364,noHit
SM_b21365,noHit
SM_b21669,noHit
SM_b21366,noHit
cycA,noHit
SM_b21368,noHit
SM_b21369,noHit
SM_b21370,noHit
SM_b21371,noHit
SM_b21372,noHit
SM_b21373,noHit
SM_b21374,noHit
SM_b21375,blr4886
SM_b21376,noHit
SM_b21377,bll5782
SM_b21378,noHit
SM_b21379,blr5716
SM_b21380,noHit
SM_b21381,noHit
SM_b21382,noHit
SM_b21383,noHit
SM_b21384,noHit
SM_b21385,noHit
SM_b21525,blr2901
tauA,noHit
tauB,noHit
tauC,bll0111
SM_b21670,noHit
tauD,noHit
SM_b21530,noHit
SM_b21531,noHit
pta,noHit
SM_b21533,noHit
SM_b21534,noHit
SM_b21535,noHit
SM_b21536,noHit
SM_b21537,blr2077
phnA,noHit
SM_b21539,noHit
SM_b21671,noHit
SM_b21540,noHit
SM_b21541,noHit
SM_b21542,noHit
SM_b21543,noHit
SM_b21544,noHit
SM_b21545,noHit
SM_b21546,noHit
SM_b21547,noHit
SM_b21548,noHit
thtR,noHit
SM_b21550,noHit
SM_b21551,noHit
aacC4,noHit
SM_b21554,noHit
kefB2,noHit
SM_b21556,blr2219
SM_b21557,noHit
SM_b21558,noHit
SM_b21559,noHit
SM_b21560,noHit
SM_b21561,noHit
SM_b21562,noHit
SM_b21563,noHit
SM_b21564,noHit
SM_b21565,bll6640
groEL5,groEL1
SM_b21568,noHit
SM_b21569,noHit
stcD,noHit
SM_b21571,blr0602
SM_b21572,noHit
SM_b21573,blr4375
SM_b21574,noHit
SM_b21575,blr5047
SM_b21576,noHit
SM_b21577,noHit
atcU2,noHit
hmrR2,bll4578
SM_b21580,noHit
SM_b21581,noHit
SM_b21582,noHit
SM_b21583,noHit
SM_b21584,noHit
SM_b21585,noHit
gshB2,noHit
SM_b21587,blr3200
SM_b21588,blr3201
SM_b21589,blr3202
SM_b21590,blr3203
SM_b21591,blr3204
SM_b21592,noHit
SM_b21593,noHit
SM_b21594,noHit
SM_b21595,noHit
SM_b21596,noHit
SM_b21597,noHit
SM_b21598,noHit
SM_b21599,noHit
ampC,noHit
SM_b21601,noHit
SM_b21602,noHit
SM_b21603,noHit
SM_b21604,noHit
SM_b21605,noHit
abfA,noHit
SM_b21672,noHit
SM_b20925,noHit
SM_b20926,noHit
SM_b20927,noHit
SM_b20928,noHit
SM_b20929,blr1122
SM_b20930,blr1121
SM_b20931,noHit
exsH,noHit
exsG,noHit
exsF,noHit
exsI,noHit
SM_b20936,noHit
exsE,blr7537
exsD,noHit
exsC,noHit
exsB,noHit
exsA,bll6620
exoB,noHit
exoZ,exoZ
exoQ,noHit
exoF1,noHit
exoY,noHit
exoX,noHit
exoU,noHit
exoV,noHit
exoW,noHit
exoT,noHit
SM_b21673,noHit
exoI,noHit
SM_b20952,noHit
SM_b20953,noHit
exoH,noHit
exoK,noHit
exoL,noHit
exoA,noHit
exoM,noHit
exoO,noHit
exoN,noHit
exoP,bll2362
thiD,thiD
SM_b20963,noHit
SM_b20964,blr5308
SM_b20965,noHit
lacZ2,noHit
SM_b20967,noHit
SM_b20968,noHit
SM_b20969,noHit
SM_b20970,noHit
SM_b20971,noHit
SM_b20972,noHit
SM_b20973,noHit
SM_b20974,noHit
SM_b20975,noHit
SM_b20976,noHit
SM_b20977,noHit
SM_b20978,noHit
SM_b20979,noHit
SM_b20980,noHit
SM_b20981,noHit
SM_b20982,noHit
SM_b20983,noHit
nirB,noHit
nirD,noHit
narB,nasA
SM_b20987,noHit
SM_b20988,noHit
SM_b20989,bll4951
nfeD,bll4952
SM_b20991,noHit
SM_b20992,noHit
SM_b21674,noHit
SM_b20993,noHit
SM_b20994,noHit
engA,blr4052
SM_b20996,blr4050
SM_b20997,blr4047
SM_b20998,noHit
bacA,noHit
SM_b21000,blr0503
SM_b21001,noHit
map2,map
SM_b21003,blr5498
SM_b21004,blr6753
SM_b21005,noHit
SM_b21006,bsr6752
SM_b21007,blr6751
SM_b21008,blr6750
glpK,glpK
bdhA,bdhA
xdhA2,noHit
xdhB2,noHit
SM_b21676,noHit
SM_b20847,noHit
SM_b20848,bll2708
guaD2,blr3880
lldD1,blr7409
SM_b20851,noHit
SM_b20852,noHit
SM_b20853,noHit
SM_b20854,noHit
SM_b20855,bll2677
SM_b20856,noHit
SM_b20857,noHit
SM_b20858,noHit
SM_b20859,bll2794
SM_b21677,noHit
SM_b20860,blr1251
SM_b20861,bll2792
SM_b20862,noHit
SM_b20863,noHit
SM_b20864,noHit
SM_b20865,noHit
SM_b20866,bll2791
SM_b20867,noHit
SM_b20868,noHit
SM_b20869,blr0258
SM_b20870,noHit
SM_b20871,bll3991
SM_b20872,noHit
allA,noHit
SM_b20874,noHit
SM_b20875,noHit
SM_b20876,noHit
SM_b20877,noHit
SM_b20878,noHit
SM_b20879,bll7960
rhlE2,rhlE
SM_b20881,noHit
SM_b20882,noHit
SM_b20883,blr4931
SM_b20884,blr4930
SM_b20885,bll5313
SM_b20886,blr5612
SM_b20887,blr5613
SM_b20888,blr5614
SM_b20889,noHit
araF,ilvD
araE,blr5873
araD,noHit
araC,blr3210
araB,blr3209
araA,blr3208
gbpR,noHit
SM_b20897,noHit
SM_b20898,noHit
SM_b21678,noHit
idhA,noHit
SM_b20900,noHit
SM_b21679,noHit
SM_b20901,noHit
SM_b20902,noHit
SM_b20903,noHit
SM_b20904,noHit
SM_b20905,noHit
SM_b20906,noHit
SM_b20907,noHit
SM_b20908,noHit
SM_b21680,noHit
SM_b21681,noHit
SM_b20909,noHit
SM_b20910,noHit
SM_b20911,noHit
SM_b20912,noHit
SM_b20913,noHit
SM_b21682,noHit
SM_b20914,blr2668
aslA1,noHit
SM_b20916,noHit
TRm1a,noHit
TRm1b,noHit
SM_b20920,noHit
SM_b20921,noHit
SM_b20922,noHit
SM_b21395,noHit
SM_b21396,noHit
SM_b21397,noHit
SM_b21398,noHit
SM_b21399,noHit
SM_b21683,noHit
SM_b21400,noHit
SM_b21401,noHit
SM_b21402,noHit
SM_b21403,noHit
SM_b21404,noHit
SM_b21405,bll2273
SM_b21406,blr1588
SM_b21407,noHit
SM_b21408,noHit
SM_b21410,noHit
SM_b21411,noHit
SM_b21412,noHit
SM_b21413,noHit
SM_b21414,noHit
SM_b21415,noHit
ddhA,bll5980
ddhB,bll5979
SM_b21418,noHit
SM_b21419,noHit
SM_b21684,noHit
SM_b21420,noHit
SM_b21421,noHit
SM_b21422,noHit
SM_b21423,noHit
SM_b21424,noHit
SM_b21425,noHit
SM_b21426,noHit
SM_b21427,bll6008
rmlC,noHit
SM_b21429,noHit
SM_b21430,noHit
SM_b21431,noHit
SM_b21432,noHit
SM_b21433,noHit
SM_b21685,noHit
SM_b21434,noHit
SM_b21435,noHit
SM_b21436,noHit
SM_b21437,noHit
SM_b21438,noHit
SM_b21439,bll5457
SM_b21440,noHit
SM_b21441,blr7332
SM_b21442,noHit
SM_b21443,noHit
SM_b21444,noHit
SM_b21445,bll0572
glgX2,glgX
glgB2,blr6770
SM_b21448,noHit
gst12,bll5800
SM_b21450,blr7373
SM_b21452,noHit
SM_b21454,noHit
SM_b21455,bll3834
SM_b21456,noHit
SM_b21458,noHit
SM_b21459,noHit
SM_b21460,noHit
SM_b21461,noHit
SM_b21462,noHit
SM_b21463,noHit
SM_b21464,bll5646
prsE,noHit
prsD,bll7914
SM_b21467,noHit
SM_b21468,noHit
SM_b21469,noHit
SM_b21470,noHit
SM_b21471,noHit
SM_b21472,noHit
SM_b21473,noHit
SM_b21474,noHit
SM_b21475,noHit
SM_b21476,noHit
SM_b21477,noHit
SM_b21478,noHit
SM_b21479,noHit
SM_b21480,noHit
SM_b21481,noHit
SM_b21482,noHit
SM_b21483,noHit
SM_b21686,noHit
rpoE5,noHit
SM_b21687,noHit
SM_b21485,noHit
SM_b21486,bll0148
cyoA,cyoA
cyoB,cyoB
cyoC,cyoC
SM_b21490,noHit
SM_b21491,bll7415
SM_b21492,noHit
SM_b21493,noHit
ocd,noHit
SM_b21689,noHit
SM_b21495,noHit
SM_b21496,noHit
acrE,bll5081
acrF,blr7330
SM_b21499,noHit
SM_b21500,noHit
SM_b21501,bll3170
SM_b21502,noHit
SM_b21503,noHit
SM_b21504,bll0243
wzy,bll7571
SM_b21506,noHit
SM_b21507,rhtB
dapA3,noHit
SM_b21509,noHit
SM_b21510,noHit
SM_b21511,noHit
SM_b21512,noHit
wzx2,noHit
hemK2,noHit
SM_b21515,noHit
SM_b21516,noHit
SM_b21517,noHit
SM_b21518,noHit
SM_b21519,noHit
SM_b21520,blr5688
SM_b21521,noHit
minE,minE
minD,minD
minC,minC
SM_b20647,noHit
SM_b20648,noHit
nadE1,noHit
SM_b20650,noHit
SM_b20651,noHit
asnB,asnB
SM_b20654,noHit
SM_b20655,noHit
SM_b20656,noHit
SM_b20657,noHit
SM_b20658,blr3920
SM_b20659,blr3919
SM_b20660,blr7064
SM_b20661,blr3917
SM_b20662,blr5618
SM_b20663,noHit
SM_b20664,noHit
SM_b20665,noHit
SM_b20666,bll2927
SM_b20667,bll3916
SM_b20668,blr2928
SM_b20669,blr2929
SM_b20670,blr2930
SM_b20671,noHit
SM_b20672,noHit
SM_b20673,bll5784
SM_b20674,bll3301
SM_b20675,noHit
SM_b20676,noHit
SM_b20677,noHit
ttuD2,noHit
QglxR,blr3168
hyi,hyi
gcl,gcl
iclR,blr3160
SM_b20683,bll7555
SM_b20684,blr0253
SM_b20685,noHit
SM_b20686,bll8014
SM_b20687,noHit
SM_b20688,bll0118
xthA4,bll4069
SM_b20690,noHit
SM_b20691,noHit
idnO1,blr5277
SM_b20694,noHit
SM_b20695,noHit
SM_b20696,noHit
SM_b20697,noHit
SM_b20698,noHit
SM_b20699,blr7593
SM_b20700,bll4365
SM_b20701,bll4366
SM_b20702,bll5196
SM_b20703,noHit
glgA2,noHit
SM_b20705,bll0423
SM_b20706,noHit
cyaG2,blr2264
SM_b20708,bll7808
SM_b20709,bll4476
SM_b20710,bll6323
SM_b20711,noHit
SM_b20712,noHit
SM_b20713,blr2270
SM_b20714,noHit
SM_b20715,noHit
SM_b20716,noHit
SM_b20717,noHit
SM_b20718,noHit
SM_b20719,noHit
SM_b20720,noHit
SM_b20721,noHit
SM_b20722,noHit
SM_b20723,noHit
SM_b20724,blr3161
SM_b20725,blr3162
SM_b20726,blr3163
SM_b20727,noHit
SM_b20728,noHit
SM_b20729,noHit
glnII,glnII
gstI,bsl4167
SM_b20747,bll7657
pssF,noHit
uxuB,uxuB
SM_b20750,noHit
SM_b20751,blr3957
SM_b20752,blr3956
SM_b20753,blr3955
SM_b20754,bll2454
pccB,bll5356
pccA,pccA
bhbA,noHit
SM_b20758,bll1220
phnG,phnG
phnH,phnH
phnI,phnI
phnJ,phnJ
phnK,phnK
phnL,phnL
SM_b20765,blr7948
TRm22,noHit
dak,noHit
SM_b20768,noHit
SM_b20769,blr4373
SM_b20770,bll6033
SM_b20771,blr4371
pdxA2,pdxA
SM_b20773,bll4368
SM_b20774,noHit
SM_b20775,noHit
cyaK,noHit
TRm19,noHit
TRm2011-2b-2,noHit
SM_b20779,noHit
SM_b20780,blr2052
SM_b21701,noHit
TRm2011-2b-1,noHit
TRm2011-2a,noHit
SM_b20784,bll5949
SM_b20785,bll5950
SM_b20786,bll5951
SM_b20787,bll5952
SM_b20568,bll5953
SM_b20569,noHit
SM_b20570,noHit
SM_b20571,bll7009
SM_b21691,nrd
SM_b20573,noHit
SM_b20574,blr6771
pcaB,pcaB
pcaG,pcaG
pcaH,pcaH
pcaC,pcaC
pcaD,pcaD
pcaQ,noHit
SM_b20581,bll1053
SM_b20582,bll1060
pobA,pobA
SM_b20584,bll2903
ggt,ggt
pcaR,blr1071
pcaI,gctA
pcaJ,bll1292
pcaF,pcaF
SM_b20590,bsl5265
SM_b20591,noHit
rpoE8,blr2557
SM_b20593,blr2558
amcY,amcY
ftsK2,noHit
SM_b20596,noHit
SM_b20597,blr2393
repA3,noHit
repB3,noHit
SM_b20600,noHit
SM_b21707,blr1452
SM_b20602,blr1451
SM_b20603,blr1450
SM_b20604,blr1449
SM_b20605,blr1448
SM_b20606,noHit
SM_b20607,noHit
SM_b20608,bll5291
SM_b20609,bll0966
SM_b20610,bll0965
dctA,dctA
dctB,noHit
dctD,blr3731
SM_b20614,noHit
thiC,thiC
thiO,thiO
thiG,thiG
thiE,thiE
SM_b20619,noHit
SM_b20620,noHit
SM_b20621,noHit
SM_b20622,noHit
SM_b20623,bll4898
SM_b20624,blr0961
SM_b20625,noHit
SM_b20626,noHit
SM_b20627,noHit
SM_b20628,noHit
SM_b20629,noHit
SM_b20630,noHit
SM_b20631,noHit
SM_b20632,noHit
SM_b20633,noHit
SM_b20634,noHit
SM_b21706,noHit
TRm19,noHit
SM_b21630,noHit
nspC,noHit
SM_b21632,noHit
paaG,blr2943
SM_b21634,noHit
paaZ,noHit
paaE,paaE
paaD,paaD
paaC,paaC
paaB,paaB
paaA,blr2891
paaX,paaX
SM_b21642,noHit
agaL2,noHit
agpD,noHit
agpC,noHit
agpB,noHit
agpA,noHit
melA,noHit
agpT,noHit
lacR,noHit
SM_b21651,noHit
SM_b22003,noHit
SM_b22004,noHit
SM_b22005,noHit
SM_b22002,noHit
SM_b22001,noHit
SM_b22020,noHit
SM_b22021,noHit
SM_b22022,noHit
SM_b22019,noHit
SM_b22006,noHit
SM_b22007,noHit
SM_b22008,noHit
SM_b22009,noHit
SM_b22010,noHit
SM_b22011,noHit
SM_b22012,noHit
SM_b22025,blr7950
SM_b22013,noHit
groES5,groES1
SM_b22014,noHit
SM_b22015,noHit
cyoD,cyoD
SM_b22016,noHit
SM_b22017,noHit
SM_b22018,noHit
SMc05001,noHit
SMc05002,noHit
SMc05003,noHit
SMc05004,noHit
SMc05005,noHit
SMc05006,noHit
SMc05007,noHit
ecnA,noHit
SMc05008,noHit
SMc05010,noHit
SMc05011,noHit
SMc05012,noHit
SMc05013,noHit
SMc05014,noHit
SMc05015,noHit
SMc05016,noHit
SMc05017,noHit
SMc05018,noHit
SMc05019,noHit
fdoG,noHit
fdoH,noHit
fdoI,bll5475
fdhE,noHit
selA,noHit
SMa0013,noHit
selB,noHit
SMa0017,noHit
SMa0018,noHit
SMa0020,noHit
SMa0021,noHit
SMa0025,noHit
SMa0026,noHit
selD,noHit
SMa0031,noHit
SMa0034,noHit
SMa0036,blr4184
SMa0039,bll4136
SMa0041,qor
SMa0044,bsl6676
cah,cah
SMa0050,noHit
SMa0052,noHit
SMa0056,noHit
SMa0058,noHit
SMa0059,blr3335
SMa0060,noHit
SMa0062,noHit
SMa0063,noHit
SMa0064,blr5276
SMa0065,noHit
SMa0067,noHit
SMa0070,noHit
SMa0072,noHit
SMa0074,noHit
SMa0077,noHit
SMa0078,noHit
SMa0079,blr6399
SMa0081,blr6398
SMa0082,bll6912
SMa0083,noHit
SMa0085,noHit
SMa0087,noHit
SMa0089,noHit
SMa0091,noHit
SMa0093,bll7596
SMa0095,noHit
SMa0097,noHit
SMa0101,noHit
SMa0104,bll4896
SMa0105,bll4895
SMa0106,bll4894
SMa0108,bll4893
SMa0110,bll4892
SMa0112,bll5503
SMa0113,noHit
SMa0114,blr4745
SMa0116,dnaJ
SMa0117,blr4654
SMa0118,noHit
SMa0121,noHit
SMa0123,noHit
groEL3,noHit
groES3,noHit
cspA8,noHit
SMa0128,noHit
SMa0130,blr2247
SMa0132,noHit
SMa0134,bll8025
SMa0136,noHit
SMa0137,noHit
SMa0139,noHit
SMa0142,noHit
rpoE6,noHit
SMa0144,noHit
SMa0146,noHit
SMa0148,noHit
SMa0149,greB
SMa0150,blr0509
SMa0151,noHit
SMa0155,noHit
SMa0157,bll4430
SMa0160,blr3319
SMa0162,noHit
pilQ2,rhcC2
SMa0164,noHit
SMa0166,noHit
SMa0168,noHit
SMa0169,bll4939
SMa0171,bll7123
SMa0172,bll2813
SMa0175,noHit
SMa0179,noHit
SMa0180,noHit
cspA7,noHit
SMa0185,noHit
SMa0187,noHit
SMa0189,noHit
SMa0190,bll1344
SMa0191,noHit
SMa0193,noHit
SMa0196,bll2817
SMa0197,noHit
SMa0198,noHit
SMa0199,noHit
SMa0203,noHit
SMa0204,noHit
SMa0206,noHit
SMa0209,noHit
SMa0210,noHit
SMa0211,noHit
kduI,noHit
SMa0216,noHit
SMa0217,noHit
SMa0218,noHit
SMa0220,noHit
SMa0222,noHit
SMa0223,noHit
SMa0224,noHit
SMa0226,bll0591
gdhA,noHit
SMa0229,noHit
SMa0232,noHit
otsA,otsA
SMa0235,bll3915
SMa0237,noHit
SMa0241,blr3921
SMa0244,noHit
SMa0246,noHit
SMa0247,blr3199
SMa0249,noHit
SMa0250,noHit
SMa0252,noHit
SMa0254,bll4163
SMa0255,blr8018
SMa0257,noHit
SMa0259,bll3359
gabD3,noHit
SMa0263,noHit
SMa0265,bll6274
SMa0267,noHit
SMa0270,noHit
SMa0271,noHit
SMa0273,noHit
SMa0275,noHit
SMa0277,noHit
SMa0279,noHit
SMa0280,noHit
SMa0281,noHit
SMa0285,noHit
SMa0286,noHit
SMa0287,noHit
SMa0288,noHit
SMa0291,noHit
SMa0293,bll6105
SMa0298,noHit
SMa0299,noHit
SMa0300,noHit
SMa0301,noHit
SMa0302,noHit
SMa0303,noHit
SMa0306,noHit
SMa0307,noHit
SMa0308,noHit
SMa0310,noHit
SMa0312,noHit
SMa0314,noHit
SMa0316,noHit
SMa0319,noHit
SMa0320,noHit
SMa0322,noHit
SMa0323,noHit
SMa0325,noHit
SMa0326,blr8187
SMa0329,bll5898
SMa0333,noHit
SMa0335,bll6807
SMa0337,noHit
SMa0339,noHit
wrbA2,wrbA
SMa0341,noHit
SMa0343,noHit
SMa0346,noHit
SMa0347,noHit
SMa0349,bll3990
SMa0352,noHit
SMa0353,noHit
SMa0355,noHit
SMa0357,noHit
SMa0359,noHit
SMa0360,noHit
SMa0364,noHit
SMa0367,noHit
SMa0369,noHit
SMa0372,noHit
SMa0374,noHit
SMa0376,bll6959
SMa0380,blr4259
SMa0383,noHit
SMa0384,noHit
hisC3,noHit
SMa0389,bll7886
SMa0391,noHit
SMa0392,noHit
SMa0394,noHit
SMa0396,noHit
hisD2,noHit
SMa0400,noHit
SMa0402,noHit
SMa0403,noHit
SMa0404,noHit
SMa0405,noHit
SMa0407,noHit
SMa0412,noHit
SMa0414,noHit
SMa0417,noHit
SMa0421,noHit
SMa0424,noHit
SMa0426,noHit
SMa0429,noHit
SMa0431,noHit
SMa0433,noHit
SMa0436,noHit
SMa0444,noHit
SMa0445,noHit
SMa0447,noHit
SMa0448,noHit
SMa0450,noHit
SMa0453,bll2434
SMa0461,noHit
SMa0462,blr7227
cyaI2,bll5958
SMa0466,noHit
SMa0467,noHit
SMa0469,noHit
SMa0470,noHit
SMa0471,noHit
SMa0473,noHit
SMa0475,noHit
SMa0476,noHit
SMa0478,noHit
SMa0483,noHit
thrC2,noHit
SMa0486,noHit
SMa0489,noHit
SMa0492,noHit
SMa0493,noHit
SMa0495,noHit
SMa0496,bll7235
SMa0498,noHit
SMa0499,noHit
SMa0501,noHit
SMa0503,noHit
SMa0506,noHit
SMa0508,bll3978
SMa0510,noHit
idnD,idnD
idnO1,blr5277
idnK,noHit
SMa0516,noHit
SMa0518,noHit
SMa0520,noHit
SMa0522,noHit
SMa0523,noHit
SMa0525,noHit
SMa0526,noHit
SMa0527,noHit
SMa0535,noHit
SMa0537,noHit
SMa0538,noHit
SMa0541,noHit
SMa0543,noHit
SMa0545,noHit
SMa0548,noHit
SMa0551,noHit
SMa0552,noHit
SMa0554,noHit
SMa0557,blr5548
SMa0558,noHit
SMa0559,bll4600
SMa0561,noHit
SMa0563,bll4597
SMa0564,noHit
SMa0567,noHit
cyaF4,noHit
SMa0572,noHit
SMa0574,noHit
SMa0575,noHit
SMa0576,noHit
cyaN,noHit
nrtC,nrtC
nrtB,nrtB
nrtA,noHit
SMa0590,noHit
SMa0591,noHit
SMa0592,noHit
SMa0594,noHit
SMa0599,noHit
SMa0601,noHit
SMa0604,noHit
SMa0606,noHit
SMa0607,noHit
SMa0609,noHit
SMa0610,noHit
fixN3,noHit
fixO3,noHit
fixQ3,noHit
fixP3,noHit
SMa0620,noHit
fixI2,fixI
fixS2,noHit
SMa0625,noHit
SMa0626,noHit
aqpZ2,aqpZ
SMa0629,noHit
SMa0630,noHit
SMa0631,noHit
SMa0633,noHit
SMa0636,blr6074
SMa0637,noHit
SMa0638,noHit
SMa0639,noHit
SMa0640,noHit
SMa0643,noHit
SMa0645,noHit
SMa0647,noHit
SMa0649,noHit
SMa0656,noHit
SMa0657,noHit
SMa0659,noHit
SMa0661,blr6985
SMa0662,noHit
SMa0663,noHit
SMa0664,noHit
SMa0665,bll4670
SMa0667,bll6051
SMa0669,bll6050
SMa0670,bll3480
SMa0673,noHit
SMa0674,noHit
SMa0675,blr2742
SMa0677,noHit
SMa0678,noHit
SMa0680,bll3177
SMa0682,noHit
SMa0683,noHit
SMa0684,noHit
SMa0687,noHit
SMa0689,blr3487
SMa0690,blr3486
arcA1,noHit
arcB,noHit
arcC,noHit
SMa0699,noHit
SMa0702,noHit
dgoK2,noHit
SMa0707,noHit
SMa0708,noHit
SMa0709,noHit
SMa0710,noHit
SMa0711,noHit
SMa0713,noHit
SMa0714,noHit
SMa0715,noHit
SMa0717,noHit
SMa0719,blr1409
SMa0722,noHit
SMa0723,noHit
SMa0726,noHit
SMa0728,noHit
SMa0731,noHit
SMa0734,noHit
SMa0736,noHit
cspA6,noHit
SMa0739,noHit
SMa0740,noHit
SMa0742,noHit
groEL2,noHit
groES2,noHit
SMa0747,noHit
SMa0748,noHit
SMa0750,noHit
SMa0751,noHit
SMa0752,noHit
SMa0753,noHit
SMa0754,noHit
nodD2,nodD1
SMa0758,noHit
SMa0759,noHit
fixT2,noHit
fixK2,noHit
SMa0763,noHit
fixN2,fixN
fixO2,noHit
fixQ2,noHit
fixP2,fixP
SMa0771,noHit
nodL,noHit
noeA,noHit
noeB,noHit
SMa0775,noHit
SMa0776,noHit
SMa0779,noHit
SMa0781,noHit
SMa0783,noHit
SMa0785,noHit
SMa0787,noHit
SMa0789,noHit
SMa0791,blr3824
SMa0792,noHit
SMa0793,noHit
SMa0794,noHit
SMa0796,noHit
SMa0797,blr3671
SMa0799,noHit
SMa0800,noHit
SMa0802,noHit
SMa0803,blr3544
gabD4,noHit
syrB3,noHit
SMa0809,noHit
fixU,fixU
fdxN,bsr1739
nifB,nifB
nifA,nifA
fixX,fixX
fixC,fixC
fixB,fixB
fixA,fixA
SMa0824,noHit
nifH,nifH
nifD,nifD
nifK,nifK
nifE,nifE
nifX,nifX
SMa0833,bsr1749
fdxB,fer3
SMa0835,noHit
syrA,noHit
nodD3,noHit
SMa0841,noHit
SMa0846,noHit
SMa0848,noHit
syrM,noHit
SMa0850,noHit
nodH,noHit
nodF,noHit
nodE,noHit
nodG,noHit
nodP1,noHit
nodQ1,noHit
SMa0861,noHit
nodJ,nodJ
nodI,nodI
nodC,nodC
nodB,nodB
nodA,nodA
nodD1,noHit
SMa0872,noHit
nifN,nifN
nodN,nodN
nolG,noHit
nolF,noHit
nodM,noHit
SMa0882,blr6107
SMa0883,noHit
SMa0886,noHit
SMa0887,noHit
SMa0888,blr3024
SMa0890,noHit
dnaE3,dnaE
SMa0894,noHit
SMa0896,noHit
SMa0900,noHit
SMa0903,bll0066
SMa0905,noHit
SMa0907,noHit
SMa0909,noHit
SMa0911,blr1935
SMa0914,bll0063
SMa0917,noHit
SMa0922,noHit
traG,noHit
traD,noHit
traC,noHit
traA1,noHit
SMa0937,noHit
SMa0939,blr3485
SMa0940,blr3467
SMa0941,noHit
SMa0943,arsA
SMa0945,noHit
SMa0947,noHit
SMa0950,blr3547
SMa0951,blr3546
SMa0952,blr3545
SMa0953,noHit
SMa0955,noHit
SMa0956,blr3552
SMa0958,noHit
SMa0959,noHit
SMa0961,noHit
SMa0964,noHit
SMa0967,noHit
SMa0969,noHit
SMa0972,noHit
SMa0974,noHit
SMa0976,noHit
SMa0977,noHit
ntrR2,noHit
SMa0983,noHit
SMa0985,noHit
SMa0988,noHit
SMa0990,noHit
SMa0992,noHit
SMa0995,noHit
SMa0997,noHit
SMa0998,noHit
SMa1001,noHit
SMa1002,noHit
SMa1004,noHit
SMa1005,noHit
SMa1007,noHit
SMa1008,noHit
SMa1009,noHit
SMa1010,noHit
SMa1011,noHit
actP,noHit
hmrR,noHit
SMa1016,noHit
SMa1017,noHit
SMa1018,noHit
SMa1021,noHit
SMa1024,noHit
SMa1028,noHit
SMa1029,noHit
SMa1030,noHit
SMa1032,noHit
SMa1033,noHit
SMa1036,noHit
SMa1037,copB
SMa1038,copA
SMa1041,noHit
SMa1043,noHit
SMa1045,noHit
cyaE2,noHit
SMa1050,noHit
SMa1052,noHit
SMa1053,noHit
SMa1056,noHit
SMa1057,bll1007
SMa1058,noHit
SMa1060,blr2659
SMa1062,noHit
SMa1063,noHit
SMa1065,noHit
SMa1067,noHit
SMa1070,blr8219
SMa1073,blr8220
SMa1076,bll2473
nex18,blr2474
SMa1078,noHit
tspO,tspO
SMa1081,noHit
SMa1082,noHit
SMa1084,noHit
SMa1086,noHit
SMa1087,bll0700
SMa1089,noHit
SMa1091,noHit
SMa1092,noHit
SMa1093,noHit
SMa1095,noHit
SMa1096,noHit
SMa1097,noHit
SMa1099,noHit
SMa1100,noHit
SMa1101,noHit
cyaP,noHit
SMa1104,blr6062
SMa1111,noHit
SMa1113,noHit
SMa1115,blr6117
hspC2,blr4637
SMa1120,bll7988
SMa1122,bll7987
SMa1124,bll7986
SMa1126,noHit
degP4,noHit
SMa1131,bll3115
SMa1132,noHit
SMa1134,noHit
SMa1136,noHit
SMa1138,noHit
SMa1139,noHit
SMa1141,noHit
SMa1142,blr5906
SMa1146,bll6068
SMa1147,noHit
SMa1149,noHit
SMa1151,noHit
SMa1153,noHit
SMa1154,noHit
SMa1155,blr3815
SMa1156,noHit
SMa1158,noHit
SMa1159,noHit
SMa1160,noHit
SMa1161,noHit
SMa1162,noHit
SMa1163,noHit
SMa1166,noHit
SMa1168,noHit
SMa1169,noHit
SMa1170,cycB
SMa1171,blr1984
SMa1172,noHit
SMa1174,noHit
SMa1176,noHit
SMa1178,bll0313
nosR,nosR
nosZ,nosZ
nosD,nosD
nosF,nosF
nosY,nosY
nosL,nosL
nosX,nosX
fhp,noHit
SMa1192,noHit
nnrS,noHit
SMa1195,noHit
SMa1197,noHit
SMa1198,bll4878
SMa1200,bll4879
SMa1201,noHit
SMa1207,noHit
fixS1,fixS
fixI1,noHit
fixH,noHit
fixG,fixG
fixP1,noHit
fixQ1,noHit
fixO1,fixO
fixN1,noHit
fixM,noHit
fixK1,bll3466
fixT1,noHit
fixJ,fixJ
fixL,fixL
SMa1231,noHit
napC,napC
