Locus,Rhizobium_etli_CFN_42,Brucella_abortus_C68,Ensifer_adhaerens_OV14,Bradyrhizobium_diazoefficiens_USDA_110,Sinorhizobium_fredii_NGR234,Sinorhizobium_meliloti_Rm1021,Liberibacter_crescens_BT-0,Sinorhizobium_medicae_WSM419,Rhizobium_leguminosarum_bv_viciae_3841,Agrobacterium_fabrum_C58,Mesorhizobium_loti_MAFF303099,Locus,,,,,SMc02793,SMc02793
SM_b20904,xylG,noHit,OV14_3946,noHit,NGR_c24240,SM_b20904,noHit,Smed_4465,RL3626,xylG,mll3710,SM_b20904,,,,,SMa2159,SMa2159
SM_b20905,noHit,noHit,noHit,noHit,NGR_c07240,SM_b20905,noHit,noHit,noHit,noHit,noHit,SM_b20905,,,,,SMa2163,SMa2163
SM_b20906,noHit,noHit,noHit,noHit,noHit,SM_b20906,noHit,noHit,noHit,noHit,noHit,SM_b20906,,,,,SMa2165,SMa2165
SM_b20907,noHit,noHit,noHit,noHit,noHit,SM_b20907,noHit,noHit,noHit,noHit,noHit,SM_b20907,,,,,SMa2167,SMa2167
SM_b20908,noHit,noHit,noHit,noHit,NGR_b04690,SM_b20908,noHit,Smed_4842,noHit,noHit,mlr9674,SM_b20908,,,,,SMa2169,SMa2169
SM_b21680,noHit,noHit,noHit,noHit,noHit,SM_b21680,noHit,Smed_4841,noHit,noHit,noHit,SM_b21680,,,,,SMa2171,SMa2171
SM_b21681,noHit,noHit,noHit,noHit,noHit,SM_b21681,noHit,Smed_4840,noHit,noHit,noHit,SM_b21681,,,,,SMa2175,SMa2175
SM_b20909,noHit,noHit,noHit,noHit,noHit,SM_b20909,noHit,noHit,noHit,noHit,noHit,SM_b20909,,,,,SMa2187,SMa2187
SM_b20910,noHit,noHit,noHit,noHit,noHit,SM_b20910,noHit,Smed_4838,noHit,noHit,noHit,SM_b20910,,,,,SMa2189,SMa2189
SM_b20911,noHit,noHit,noHit,noHit,noHit,SM_b20911,noHit,Smed_4837,noHit,noHit,noHit,SM_b20911,,,,,SMa2191,SMa2191
SM_b20912,noHit,noHit,noHit,noHit,noHit,SM_b20912,noHit,Smed_1305,noHit,noHit,noHit,SM_b20912,,,,,SMa2193,SMa2193
SM_b20913,noHit,noHit,noHit,noHit,noHit,SM_b20913,noHit,Smed_1306,noHit,noHit,noHit,SM_b20913,,,,,SMa2195,SMa2195
SM_b21682,RHE_PF00493,noHit,noHit,noHit,noHit,SM_b21682,noHit,Smed_4833,noHit,noHit,noHit,SM_b21682,,,,,SMa2197,SMa2197
SM_b20914,noHit,noHit,noHit,blr2668,noHit,SM_b20914,noHit,noHit,RL1920,noHit,noHit,SM_b20914,,,,,SMa2199,SMa2199
aslA1,noHit,noHit,betC,noHit,noHit,aslA1,noHit,Smed_3791,RL1911,noHit,noHit,SM_b20915,,,,,SMa2201,SMa2201
SM_b20916,noHit,noHit,noHit,noHit,noHit,SM_b20916,noHit,noHit,noHit,noHit,noHit,SM_b20916,,,,,SMa2203,SMa2203
TRm1a,noHit,noHit,noHit,noHit,noHit,TRm1a,noHit,Smed_5766,noHit,Atu4602,noHit,SMc02298,,,,,SMa2205,SMa2205
TRm1b,noHit,noHit,noHit,noHit,noHit,TRm1b,noHit,noHit,noHit,noHit,noHit,SMc02329,,,,,SMa2207,SMa2207
SM_b20920,noHit,noHit,noHit,noHit,NGR_c11480,SM_b20920,noHit,Smed_1865,noHit,noHit,noHit,SM_b20920,,,,,SMa2209,SMa2209
SM_b20921,noHit,noHit,OV14_3288,noHit,NGR_c11470,SM_b20921,noHit,Smed_4778,noHit,noHit,noHit,SM_b20921,,,,,SMa2211,SMa2211
SM_b20922,noHit,noHit,noHit,noHit,noHit,SM_b20922,noHit,noHit,noHit,noHit,noHit,SM_b20922,,,,,SMa2213,SMa2213
SM_b21395,noHit,noHit,noHit,noHit,noHit,SM_b21395,noHit,noHit,noHit,noHit,noHit,SM_b21395,,,,,SMa2215,SMa2215
SM_b21396,noHit,noHit,noHit,noHit,noHit,SM_b21396,noHit,noHit,noHit,noHit,noHit,SM_b21396,,,,,SMa2217,SMa2217
SM_b21397,noHit,noHit,noHit,noHit,noHit,SM_b21397,noHit,noHit,noHit,noHit,noHit,SM_b21397,,,,,SMa2219,SMa2219
SM_b21398,noHit,noHit,noHit,noHit,noHit,SM_b21398,noHit,noHit,noHit,noHit,noHit,SM_b21398,,,,,SMa2221,SMa2221
SM_b21399,noHit,noHit,noHit,noHit,noHit,SM_b21399,noHit,noHit,noHit,noHit,noHit,SM_b21399,,,,,SMa2223,SMa2223
SM_b21683,noHit,noHit,noHit,noHit,NGR_c11580,SM_b21683,noHit,Smed_6347,noHit,noHit,noHit,SM_b21683,,,,,SMa2225,SMa2225
SM_b21400,noHit,noHit,noHit,noHit,noHit,SM_b21400,noHit,noHit,noHit,noHit,noHit,SM_b21400,,,,,SMa2227,SMa2227
SM_b21401,noHit,noHit,noHit,noHit,noHit,SM_b21401,noHit,noHit,noHit,noHit,noHit,SM_b21401,,,,,SMa2229,SMa2229
SM_b21402,noHit,noHit,noHit,noHit,noHit,SM_b21402,noHit,noHit,noHit,noHit,noHit,SM_b21402,,,,,SMa2231,SMa2231
SM_b21403,noHit,noHit,noHit,noHit,noHit,SM_b21403,noHit,noHit,noHit,noHit,noHit,SM_b21403,,,,,SMa2233,SMa2233
SM_b21404,noHit,noHit,noHit,noHit,noHit,SM_b21404,noHit,noHit,noHit,noHit,noHit,SM_b21404,,,,,SMa2235,SMa2235
SM_b21405,noHit,noHit,noHit,bll2273,noHit,SM_b21405,noHit,noHit,noHit,noHit,noHit,SM_b21405,,,,,SMa2237,SMa2237
SM_b21406,RHE_PE00249,noHit,OV14_b0407,blr1588,NGR_b04720,SM_b21406,noHit,Smed_1426,pRL110108,Atu5049,mlr9623,SM_b21406,,,,,SMa2239,SMa2239
SM_b21407,noHit,noHit,noHit,noHit,NGR_b04700,SM_b21407,noHit,Smed_1427,noHit,noHit,noHit,SM_b21407,,,,,SMa2241,SMa2241
SM_b21408,noHit,noHit,noHit,noHit,noHit,SM_b21408,noHit,noHit,noHit,noHit,noHit,SM_b21408,,,,,SMa2243,SMa2243
SM_b21410,RHE_CH02552,noHit,noHit,noHit,noHit,SM_b21410,noHit,Smed_4427,RL2939,noHit,mll5735,SM_b21410,,,,,SMa2245,SMa2245
SM_b21411,noHit,noHit,noHit,noHit,noHit,SM_b21411,noHit,noHit,noHit,noHit,noHit,SM_b21411,,,,,SMa2249,SMa2249
SM_b21412,RHE_PF00419,DK53_2723,noHit,noHit,NGR_c24300,SM_b21412,noHit,Smed_4425,pRL120460,Atu4395,mll7394,SM_b21412,,,,,SMa2251,SMa2251
SM_b21413,noHit,noHit,noHit,noHit,NGR_c24310,SM_b21413,noHit,Smed_4424,noHit,noHit,noHit,SM_b21413,,,,,SMa2253,SMa2253
SM_b21414,RHE_CH02599,noHit,noHit,noHit,NGR_c24320,SM_b21414,noHit,Smed_4423,rhbB,noHit,noHit,SM_b21414,,,,,SMa2255,SMa2255
SM_b21415,RHE_CH02354,noHit,OV14_3342,noHit,NGR_c24330,SM_b21415,noHit,Smed_4422,RL2668,noHit,mlr6875,SM_b21415,,,,,SMa2257,SMa2257
ddhA,noHit,noHit,ddhA,bll5980,ddhA,ddhA,noHit,noHit,ddhA,rfbF,noHit,SM_b21416,,,,,SMa2259,SMa2259
ddhB,noHit,noHit,ddhB,bll5979,ddhB,ddhB,noHit,noHit,RL0245,noHit,noHit,SM_b21417,,,,,SMa2263,SMa2263
SM_b21418,noHit,noHit,OV14_3960,noHit,NGR_c24360,SM_b21418,noHit,noHit,RL0244,Atu4798,noHit,SM_b21418,,,,,SMa2265,SMa2265
SM_b21419,noHit,noHit,noHit,noHit,noHit,SM_b21419,noHit,noHit,RL0628,noHit,noHit,SM_b21419,,,,,SMa2267,SMa2267
SM_b21684,noHit,noHit,noHit,noHit,noHit,SM_b21684,noHit,noHit,noHit,noHit,noHit,SM_b21684,,,,,SMa2269,SMa2269
SM_b21420,noHit,noHit,noHit,noHit,noHit,SM_b21420,noHit,noHit,araA,noHit,noHit,SM_b21420,,,,,SMa2273,SMa2273
SM_b21421,noHit,noHit,noHit,noHit,noHit,SM_b21421,noHit,noHit,noHit,noHit,noHit,SM_b21421,,,,,SMa2275,SMa2275
SM_b21422,noHit,noHit,noHit,noHit,noHit,SM_b21422,noHit,noHit,noHit,noHit,noHit,SM_b21422,,,,,SMa2279,SMa2279
SM_b21423,noHit,noHit,noHit,noHit,noHit,SM_b21423,noHit,noHit,RL0631,rbsC,noHit,SM_b21423,,,,,SMa2281,SMa2281
SM_b21424,noHit,noHit,noHit,noHit,noHit,SM_b21424,noHit,noHit,noHit,noHit,noHit,SM_b21424,,,,,SMa2285,SMa2285
SM_b21425,noHit,noHit,OV14_3956,noHit,NGR_c24370,SM_b21425,noHit,noHit,RL0239,noHit,noHit,SM_b21425,,,,,SMa2287,SMa2287
SM_b21426,noHit,noHit,OV14_3955,noHit,NGR_c24380,SM_b21426,noHit,noHit,noHit,noHit,mll7572,SM_b21426,,,,,SMa2289,SMa2289
SM_b21427,noHit,noHit,OV14_3954,bll6008,NGR_c24390,SM_b21427,noHit,Smed_1810,noHit,noHit,noHit,SM_b21427,,,,,SMa2291,SMa2291
rmlC,noHit,noHit,rmlC,noHit,rmlC,rmlC,noHit,noHit,noHit,Atu4799,noHit,SM_b21428,,,,,SMa2293,SMa2293
SM_b21429,noHit,noHit,OV14_b0919,noHit,NGR_b11230,SM_b21429,noHit,Smed_4420,RL2715,fecE,noHit,SM_b21429,,,,,mrcA2,SMa2294
SM_b21430,noHit,noHit,OV14_b0920,noHit,NGR_b11220,SM_b21430,noHit,Smed_4419,RL2714,Atu3389,noHit,SM_b21430,,,,,SMa2295,SMa2295
SM_b21431,noHit,noHit,noHit,noHit,noHit,SM_b21431,noHit,noHit,noHit,noHit,noHit,SM_b21431,,,,,SMa2297,SMa2297
SM_b21432,noHit,noHit,noHit,noHit,noHit,SM_b21432,noHit,noHit,noHit,noHit,noHit,SM_b21432,,,,,SMa2299,SMa2299
SM_b21433,noHit,noHit,OV14_b0923,noHit,NGR_b11190,SM_b21433,noHit,Smed_4417,RL2712,Atu3392,noHit,SM_b21433,,,,,SMa2301,SMa2301
SM_b21685,noHit,noHit,noHit,noHit,noHit,SM_b21685,noHit,noHit,noHit,noHit,noHit,SM_b21685,,,,,SMa2303,SMa2303
SM_b21434,noHit,noHit,noHit,noHit,noHit,SM_b21434,noHit,noHit,noHit,noHit,noHit,SM_b21434,,,,,SMa2305,SMa2305
SM_b21435,noHit,noHit,noHit,noHit,noHit,SM_b21435,noHit,noHit,noHit,noHit,noHit,SM_b21435,,,,,SMa2307,SMa2307
SM_b21436,noHit,noHit,noHit,noHit,noHit,SM_b21436,noHit,noHit,noHit,noHit,noHit,SM_b21436,,,,,SMa2309,SMa2309
SM_b21437,noHit,noHit,noHit,noHit,noHit,SM_b21437,noHit,noHit,noHit,noHit,noHit,SM_b21437,,,,,SMa2311,SMa2311
SM_b21438,noHit,noHit,noHit,noHit,noHit,SM_b21438,noHit,noHit,noHit,noHit,noHit,SM_b21438,,,,,SMa2313,SMa2313
SM_b21439,noHit,noHit,noHit,bll5457,noHit,SM_b21439,noHit,noHit,noHit,noHit,mll2519,SM_b21439,,,,,SMa2315,SMa2315
SM_b21440,RHE_CH02664,noHit,OV14_a0594,noHit,NGR_b11180,SM_b21440,noHit,Smed_4416,RL3085,noHit,noHit,SM_b21440,,,,,SMa2317,SMa2317
SM_b21441,RHE_CH02435,noHit,OV14_b0693,blr7332,NGR_b11150,SM_b21441,noHit,Smed_4414,noHit,noHit,noHit,SM_b21441,,,,,gst14,SMa2319
SM_b21442,noHit,noHit,noHit,noHit,noHit,SM_b21442,noHit,noHit,noHit,noHit,noHit,SM_b21442,,,,,uvrD2,SMa2321
SM_b21443,noHit,noHit,noHit,noHit,noHit,SM_b21443,noHit,noHit,noHit,noHit,noHit,SM_b21443,,,,,SMa2323,SMa2323
SM_b21444,noHit,noHit,noHit,noHit,noHit,SM_b21444,noHit,Smed_4411,noHit,noHit,noHit,SM_b21444,,,,,SMa2325,SMa2325
SM_b21445,RHE_PE00209,noHit,OV14_a1645,bll0572,NGR_c30410,SM_b21445,noHit,Smed_4410,pRL110305,Atu4036,mll2873,SM_b21445,,,,,SMa2327,SMa2327
glgX2,glgXe,noHit,noHit,glgX,glgX,glgX2,noHit,Smed_4409,treX,noHit,noHit,SM_b21446,,,,,kdpC,SMa2329
glgB2,RHE_PF00263,noHit,noHit,blr6770,NGR_b11110,glgB2,noHit,Smed_4408,pRL120722,Atu5284,noHit,SM_b21447,,,,,kdpB,SMa2331
SM_b21448,RHE_PE00232,noHit,noHit,noHit,NGR_b11100,SM_b21448,noHit,Smed_4407,pRL110312,noHit,mll5147,SM_b21448,,,,,kdpA,SMa2333
gst12,gste,noHit,OV14_a0606,bll5800,NGR_b11090,gst12,noHit,Smed_4406,pRL110307,noHit,noHit,SMa1497,,,,,SMa2335,SMa2335
SM_b21450,RHE_PE00395,noHit,noHit,blr7373,NGR_b03330,SM_b21450,noHit,Smed_4405,noHit,Atu3071,noHit,SM_b21450,,,,,rhtX,SMa2337
SM_b21452,noHit,noHit,noHit,noHit,NGR_b11060,SM_b21452,noHit,Smed_4403,noHit,noHit,noHit,SM_b21452,,,,,rhbA,SMa2400
SM_b21454,RHE_PB00043,noHit,noHit,noHit,NGR_b11040,SM_b21454,noHit,Smed_4401,RL3959,noHit,noHit,SM_b21454,,,,,rhbB,SMa2402
SM_b21455,RHE_PF00246,noHit,OV14_b0696,bll3834,NGR_b11030,SM_b21455,noHit,Smed_4400,pRL120740,noHit,mlr6856,SM_b21455,,,,,rhbC,SMa2404
SM_b21456,RHE_PC00121,noHit,OV14_a1611,noHit,NGR_b10710,SM_b21456,noHit,Smed_4399,pRL110268,noHit,mll3289,SM_b21456,,,,,rhbD,SMa2406
SM_b21458,noHit,noHit,noHit,noHit,noHit,SM_b21458,noHit,Smed_4398,noHit,noHit,noHit,SM_b21458,,,,,rhbE,SMa2408
SM_b21459,noHit,noHit,thuF,noHit,noHit,SM_b21459,noHit,Smed_4397,noHit,noHit,noHit,SM_b21459,,,,,rhbF,SMa2410
SM_b21460,noHit,noHit,noHit,noHit,noHit,SM_b21460,noHit,Smed_4396,noHit,noHit,noHit,SM_b21460,,,,,rhrA,SMa2412
SM_b21461,noHit,noHit,thuE,noHit,noHit,SM_b21461,noHit,Smed_4395,noHit,noHit,noHit,SM_b21461,,,,,rhtA,SMa2414
SM_b21462,noHit,noHit,noHit,noHit,noHit,SM_b21462,noHit,Smed_4394,noHit,Atu4649,noHit,SM_b21462,,,,,SMa2339,SMa2339
SM_b21463,noHit,noHit,agaL1,noHit,noHit,SM_b21463,noHit,Smed_4393,noHit,noHit,noHit,SM_b21463,,,,,SMa2341,SMa2341
SM_b21464,noHit,noHit,OV14_b0870,bll5646,noHit,SM_b21464,noHit,Smed_4392,noHit,noHit,noHit,SM_b21464,,,,,SMa2343,SMa2343
prsE,prsE,noHit,noHit,noHit,aprE,prsE,noHit,Smed_4391,prsE,prsE2,noHit,SM_b21465,,,,,SMa5012,SMa5012
prsD,prsD,noHit,aprD,bll7914,aprD,prsD,noHit,Smed_4390,prsD,rspD,noHit,SM_b21466,,,,,SMa5013,SMa5013
SM_b21467,noHit,noHit,noHit,noHit,NGR_b18620,SM_b21467,noHit,Smed_4389,noHit,noHit,noHit,SM_b21467,,,,,SMa2347,SMa2347
SM_b21468,RHE_CH03581,DK53_1429,OV14_a0890,noHit,NGR_b18640,SM_b21468,RL73_04965,Smed_4388,RL4100,Atu0209,noHit,SM_b21468,,,,,SMa2349,SMa2349
SM_b21469,noHit,noHit,noHit,noHit,noHit,SM_b21469,noHit,Smed_4387,noHit,noHit,noHit,SM_b21469,,,,,SMa2351,SMa2351
SM_b21470,noHit,noHit,noHit,noHit,NGR_b18660,SM_b21470,noHit,Smed_4386,noHit,noHit,noHit,SM_b21470,,,,,SMa2353,SMa2353
SM_b21471,noHit,noHit,noHit,noHit,noHit,SM_b21471,noHit,Smed_4385,noHit,noHit,noHit,SM_b21471,,,,,SMa2355,SMa2355
SM_b21472,RHE_CH01796,noHit,OV14_a1540,noHit,NGR_b18670,SM_b21472,noHit,Smed_6346,RL2602,Atu5277,mll1528,SM_b21472,,,,,cyaO,SMa2357
SM_b21473,RHE_CH02132,DK53_1176,noHit,noHit,NGR_b18680,SM_b21473,noHit,Smed_4383,RL2416,noHit,noHit,SM_b21473,,,,,SMa2359,SMa2359
SM_b21474,RHE_CH03699,noHit,noHit,noHit,NGR_b18690,SM_b21474,noHit,Smed_4382,RL4235,Atu3333,noHit,SM_b21474,,,,,SMa2361,SMa2361
SM_b21475,noHit,noHit,noHit,noHit,NGR_b22320,SM_b21475,noHit,noHit,noHit,noHit,noHit,SM_b21475,,,,,SMa2363,SMa2363
SM_b21476,noHit,noHit,noHit,noHit,noHit,SM_b21476,noHit,noHit,noHit,noHit,noHit,SM_b21476,,,,,SMa2365,SMa2365
SM_b21477,noHit,noHit,noHit,noHit,noHit,SM_b21477,noHit,noHit,noHit,noHit,noHit,SM_b21477,,,,,SMa2367,SMa2367
SM_b21478,noHit,noHit,noHit,noHit,noHit,SM_b21478,noHit,noHit,noHit,noHit,noHit,SM_b21478,,,,,SMa2369,SMa2369
SM_b21479,RHE_CH01795,noHit,OV14_a1844,noHit,NGR_b18700,SM_b21479,noHit,Smed_4381,RL2015,Atu4062,noHit,SM_b21479,,,,,codA,SMa2371
SM_b21480,noHit,noHit,noHit,noHit,NGR_b18710,SM_b21480,noHit,Smed_4380,noHit,noHit,noHit,SM_b21480,,,,,SMa5034,SMa5034
SM_b21481,noHit,noHit,noHit,noHit,NGR_b18720,SM_b21481,noHit,Smed_4379,noHit,noHit,noHit,SM_b21481,,,,,SMa2373,SMa2373
SM_b21482,noHit,noHit,noHit,noHit,NGR_b18730,SM_b21482,noHit,Smed_4378,noHit,noHit,noHit,SM_b21482,,,,,SMa2375,SMa2375
SM_b21483,RHE_CH01537,noHit,OV14_b0690,noHit,NGR_b18740,SM_b21483,noHit,Smed_4377,RL1644,noHit,msl2054,SM_b21483,,,,,SMa2377,SMa2377
SM_b21686,noHit,noHit,noHit,noHit,noHit,SM_b21686,noHit,noHit,noHit,noHit,noHit,SM_b21686,,,,,katB,SMa2379
rpoE5,RHE_PF00052,noHit,OV14_b0691,noHit,NGR_b18750,rpoE5,noHit,Smed_4376,noHit,ecfR,noHit,SM_b21484,,,,,SMa2381,SMa2381
SM_b21687,noHit,noHit,noHit,noHit,noHit,SM_b21687,noHit,Smed_4375,noHit,noHit,noHit,SM_b21687,,,,,SMa2383,SMa2383
SM_b21485,noHit,noHit,noHit,noHit,noHit,SM_b21485,noHit,noHit,noHit,noHit,noHit,SM_b21485,,,,,SMa2385,SMa2385
SM_b21486,RHE_PE00031,noHit,OV14_a1429,bll0148,NGR_b18790,SM_b21486,noHit,Smed_4373,pRL110043,Atu0143,mll6844,SM_b21486,,,,,SMa2387,SMa2387
cyoA,cyoA,cyoA,cyoA,cyoA,cyoA,cyoA,noHit,Smed_4372,cyoAp11,cyoA,mlr6846,SM_b21487,,,,,SMa2389,SMa2389
cyoB,cyoB,noHit,cyoB,cyoB,cyoB,cyoB,RL73_00580,Smed_4371,cyoBp11,cyoB,mlr6847,SM_b21488,,,,,repC2,SMa2391
cyoC,cyoC,cyoC,cyoC,cyoC,cyoC,cyoC,RL73_00585,Smed_4370,cyoCp11,cyoC,mlr6848,SM_b21489,,,,,repB2,SMa2393
SM_b21490,noHit,noHit,noHit,noHit,NGR_b18840,SM_b21490,noHit,noHit,noHit,noHit,noHit,SM_b21490,,,,,repA2,SMa2395
SM_b21491,RHE_PB00014,DK53_713,OV14_a0158,bll7415,NGR_b18850,SM_b21491,noHit,Smed_4367,pRL90069,Atu4026,mlr3121,SM_b21491,,,,,lacE,SM_b21652
SM_b21492,RHE_CH02939,DK53_3118,OV14_a0134,noHit,NGR_b18860,SM_b21492,noHit,Smed_4366,RL3388,Atu2005,mlr1823,SM_b21492,,,,,lacF,SM_b21653
SM_b21493,noHit,noHit,OV14_a0458,noHit,NGR_b18870,SM_b21493,noHit,Smed_4365,RL3094,noHit,noHit,SM_b21493,,,,,lacG,SM_b21654
ocd,noHit,DK53_2339,ocd1,noHit,ocd1,ocd,noHit,noHit,arcB1,ocd,mll6776,SM_b21494,,,,,lacZ1,SM_b21655
SM_b21689,noHit,noHit,noHit,noHit,NGR_b18900,SM_b21689,noHit,noHit,noHit,noHit,noHit,SM_b21689,,,,,lacK1,SM_b20002
SM_b21495,noHit,noHit,noHit,noHit,noHit,SM_b21495,noHit,noHit,noHit,noHit,noHit,SM_b21495,,,,,SM_b20003,SM_b20003
SM_b21496,noHit,noHit,noHit,noHit,noHit,SM_b21496,noHit,noHit,noHit,noHit,noHit,SM_b21496,,,,,gstR,SM_b20004
acrE,noHit,noHit,OV14_a1272,bll5081,NGR_c19590,acrE,noHit,Smed_4362,noHit,noHit,noHit,SM_b21497,,,,,gst15,SM_b20005
acrF,noHit,noHit,OV14_a1273,blr7330,NGR_c19600,acrF,noHit,Smed_4361,noHit,noHit,noHit,SM_b21498,,,,,SM_b20006,SM_b20006
SM_b21499,noHit,noHit,OV14_a0372,noHit,NGR_b19030,SM_b21499,noHit,Smed_4360,noHit,noHit,noHit,SM_b21499,,,,,katC,SM_b20007
SM_b21500,noHit,noHit,OV14_a0371,noHit,NGR_b19040,SM_b21500,noHit,Smed_4359,noHit,noHit,noHit,SM_b21500,,,,,SM_b20008,SM_b20008
SM_b21501,noHit,DK53_1166,OV14_a0370,bll3170,NGR_b19050,SM_b21501,noHit,Smed_4358,RL1952,Atu3258,noHit,SM_b21501,,,,,SM_b20009,SM_b20009
SM_b21502,noHit,noHit,OV14_a0369,noHit,NGR_b19060,SM_b21502,noHit,Smed_4357,noHit,noHit,noHit,SM_b21502,,,,,SM_b20010,SM_b20010
SM_b21503,noHit,noHit,OV14_a0368,noHit,NGR_b19070,SM_b21503,noHit,Smed_4356,noHit,noHit,noHit,SM_b21503,,,,,SM_b20011,SM_b20011
SM_b21504,noHit,noHit,OV14_a0367,bll0243,NGR_b19080,SM_b21504,noHit,Smed_4355,noHit,Atu0482,noHit,SM_b21504,,,,,SM_b20012,SM_b20012
wzy,noHit,DK53_3030,OV14_a0366,bll7571,NGR_b19090,wzy,noHit,Smed_4354,noHit,exoQ,mll6499,SM_b21505,,,,,SM_b20013,SM_b20013
SM_b21506,RHE_CH00229,noHit,OV14_a0365,noHit,NGR_b19100,SM_b21506,noHit,Smed_4353,RL0237,Atu2377,noHit,SM_b21506,,,,,SM_b20014,SM_b20014
SM_b21507,noHit,noHit,noHit,rhtB,noHit,SM_b21507,noHit,noHit,noHit,Atu5358,mll7642,SM_b21507,,,,,SM_b20015,SM_b20015
dapA3,dapAch3,noHit,noHit,noHit,NGR_b00160,dapA3,noHit,Smed_4167,RL3247,dapA,mll6376,SM_b21508,,,,,SM_b20016,SM_b20016
SM_b21509,noHit,noHit,noHit,noHit,noHit,SM_b21509,noHit,noHit,noHit,noHit,noHit,SM_b21509,,,,,SM_b20017,SM_b20017
SM_b21510,noHit,noHit,noHit,noHit,noHit,SM_b21510,noHit,noHit,noHit,noHit,noHit,SM_b21510,,,,,SM_b20018,SM_b20018
SM_b21511,noHit,noHit,noHit,noHit,noHit,SM_b21511,noHit,noHit,noHit,noHit,noHit,SM_b21511,,,,,sucB,SM_b20019
SM_b21512,noHit,noHit,OV14_a0364,noHit,NGR_b19110,SM_b21512,noHit,Smed_4352,noHit,Atu2369,noHit,SM_b21512,,,,,pdh,SM_b20020
wzx2,noHit,noHit,OV14_a0363,noHit,NGR_b19120,wzx2,noHit,Smed_4351,noHit,Atu0480,noHit,SM_b21513,,,,,SM_b20021,SM_b20021
hemK2,noHit,noHit,OV14_a0362,noHit,NGR_b19130,hemK2,noHit,Smed_4350,noHit,noHit,mlr6740,SM_b21514,,,,,SM_b20022,SM_b20022
SM_b21515,noHit,noHit,OV14_a0361,noHit,NGR_b19140,SM_b21515,noHit,Smed_4349,noHit,noHit,mll0814,SM_b21515,,,,,SM_b20023,SM_b20023
SM_b21516,RHE_CH01168,noHit,OV14_a1238,noHit,noHit,SM_b21516,noHit,Smed_4348,RL1297,Atu5196,mll7632,SM_b21516,,,,,SM_b20024,SM_b20024
SM_b21517,noHit,noHit,noHit,noHit,NGR_b03430,SM_b21517,noHit,Smed_4347,noHit,noHit,noHit,SM_b21517,,,,,SM_b20025,SM_b20025
SM_b21518,noHit,noHit,noHit,noHit,noHit,SM_b21518,noHit,Smed_4346,noHit,noHit,noHit,SM_b21518,,,,,SM_b20026,SM_b20026
SM_b21519,RHE_CH01735,noHit,OV14_b1459,noHit,NGR_b03410,SM_b21519,noHit,Smed_4345,RL1836,noHit,mll4568,SM_b21519,,,,,SM_b20027,SM_b20027
SM_b21520,RHE_CH01734,DK53_377,OV14_b1460,blr5688,NGR_b03400,SM_b21520,noHit,Smed_4344,RL1835,Atu5267,mll4567,SM_b21520,,,,,SM_b20028,SM_b20028
SM_b21521,noHit,noHit,noHit,noHit,NGR_b03390,SM_b21521,noHit,Smed_4343,noHit,noHit,noHit,SM_b21521,,,,,SM_b20029,SM_b20029
minE,minE,minE,minE,minE,minE,minE,noHit,Smed_4342,minE,minE,msl1949,SM_b21522,,,,,rpoE9,SM_b20030
minD,minD,minD,minD,minD,minD,minD,noHit,Smed_4341,minD,minD,mll1950,SM_b21523,,,,,SM_b20031,SM_b20031
minC,minC,minC,minC,minC,minC,minC,noHit,Smed_4340,minC,minC,mll1951,SM_b21524,,,,,SM_b20032,SM_b20032
SM_b20647,noHit,noHit,noHit,noHit,NGR_c27490,SM_b20647,noHit,Smed_4339,noHit,Atu1865,noHit,SM_b20647,,,,,SM_b20033,SM_b20033
SM_b20648,RHE_CH01395,noHit,noHit,noHit,NGR_c27500,SM_b20648,noHit,noHit,RL1516,noHit,noHit,SM_b20648,,,,,SM_b20034,SM_b20034
nadE1,noHit,noHit,nadE1,noHit,nadE1,nadE1,noHit,Smed_4337,noHit,noHit,mll6744,SM_b20649,,,,,SM_b20035,SM_b20035
SM_b20650,noHit,noHit,OV14_a0359,noHit,NGR_b19190,SM_b20650,noHit,Smed_4336,noHit,fadD,mll6742,SM_b20650,,,,,SM_b20036,SM_b20036
SM_b20651,noHit,noHit,OV14_a0358,noHit,NGR_b19200,SM_b20651,noHit,Smed_4335,noHit,Atu8162,msl6741,SM_b20651,,,,,aroE2,SM_b20037
asnB,noHit,noHit,OV14_a0357,asnB,NGR_b19210,asnB,noHit,Smed_4334,noHit,noHit,mll6743,SM_b20652,,,,,SM_b20038,SM_b20038
SM_b20654,noHit,noHit,noHit,noHit,NGR_b19230,SM_b20654,noHit,Smed_4333,noHit,noHit,noHit,SM_b20654,,,,,SM_b20039,SM_b20039
SM_b20655,RHE_CH02818,noHit,OV14_3241,noHit,NGR_b20200,SM_b20655,noHit,noHit,RL3275,noHit,noHit,SM_b20655,,,,,SM_b20040,SM_b20040
SM_b20656,noHit,noHit,noHit,noHit,NGR_b20210,SM_b20656,noHit,Smed_4332,pRL80049,noHit,noHit,SM_b20656,,,,,SM_b20041,SM_b20041
SM_b20657,noHit,noHit,noHit,noHit,NGR_b20220,SM_b20657,noHit,Smed_4331,noHit,noHit,noHit,SM_b20657,,,,,SM_b20042,SM_b20042
SM_b20658,RHE_PF00093,noHit,OV14_b1260,blr3920,NGR_b20230,SM_b20658,noHit,Smed_4330,pRL120223,noHit,noHit,SM_b20658,,,,,SM_b20043,SM_b20043
